Step,imperial-droid-52 - Average Train Loss,imperial-droid-52 - Average Train Loss__MIN,imperial-droid-52 - Average Train Loss__MAX,imperial-droid-52 - Test Loss,imperial-droid-52 - Test Loss__MIN,imperial-droid-52 - Test Loss__MAX,imperial-droid-52 - Val Loss,imperial-droid-52 - Val Loss__MIN,imperial-droid-52 - Val Loss__MAX
286,,,,,,,0.004083119332790380,0.004083119332790380,0.004083119332790380
316,0.34217360615730300,0.34217360615730300,0.34217360615730300,,,,,,
317,,,,0.004066673573106530,0.004066673573106530,0.004066673573106530,,,
318,,,,,,,0.004014911130070690,0.004014911130070690,0.004014911130070690
348,0.32608547806739800,0.32608547806739800,0.32608547806739800,,,,,,
349,,,,0.0035288012586534000,0.0035288012586534000,0.0035288012586534000,,,
350,,,,,,,0.0036708046682179000,0.0036708046682179000,0.0036708046682179000
380,0.31613603234291100,0.31613603234291100,0.31613603234291100,,,,,,
381,,,,0.004593003075569870,0.004593003075569870,0.004593003075569870,,,
382,,,,,,,0.004381589125841860,0.004381589125841860,0.004381589125841860
412,0.3055088520050050,0.3055088520050050,0.3055088520050050,,,,,,
413,,,,0.0047295112162828400,0.0047295112162828400,0.0047295112162828400,,,
414,,,,,,,0.004820407833904030,0.004820407833904030,0.004820407833904030
444,0.29495781660080000,0.29495781660080000,0.29495781660080000,,,,,,
445,,,,0.004116338212043050,0.004116338212043050,0.004116338212043050,,,
446,,,,,,,0.004126359708607200,0.004126359708607200,0.004126359708607200
476,0.2990419566631320,0.2990419566631320,0.2990419566631320,,,,,,
477,,,,0.004927986767143010,0.004927986767143010,0.004927986767143010,,,
478,,,,,,,0.004028376191854480,0.004028376191854480,0.004028376191854480
508,0.3042585849761960,0.3042585849761960,0.3042585849761960,,,,,,
509,,,,0.005492398049682380,0.005492398049682380,0.005492398049682380,,,
510,,,,,,,0.005414169281721120,0.005414169281721120,0.005414169281721120
540,0.29731273651123000,0.29731273651123000,0.29731273651123000,,,,,,
541,,,,0.0034542297944426500,0.0034542297944426500,0.0034542297944426500,,,
542,,,,,,,0.003336637746542690,0.003336637746542690,0.003336637746542690
572,0.2973085045814510,0.2973085045814510,0.2973085045814510,,,,,,
573,,,,0.0035087892320007100,0.0035087892320007100,0.0035087892320007100,,,
574,,,,,,,0.0032710612285882200,0.0032710612285882200,0.0032710612285882200
604,0.2826172709465030,0.2826172709465030,0.2826172709465030,,,,,,
605,,,,0.00419013574719429,0.00419013574719429,0.00419013574719429,,,
606,,,,,,,0.003855659393593670,0.003855659393593670,0.003855659393593670
636,0.28609833121299700,0.28609833121299700,0.28609833121299700,,,,,,
637,,,,0.003111436730250720,0.003111436730250720,0.003111436730250720,,,
638,,,,,,,0.0033096640836447500,0.0033096640836447500,0.0033096640836447500
668,0.2833562195301060,0.2833562195301060,0.2833562195301060,,,,,,
669,,,,0.003283069469034670,0.003283069469034670,0.003283069469034670,,,
670,,,,,,,0.0030186488293111300,0.0030186488293111300,0.0030186488293111300
700,0.303492933511734,0.303492933511734,0.303492933511734,,,,,,
701,,,,0.004011147655546670,0.004011147655546670,0.004011147655546670,,,
702,,,,,,,0.0033678922336548600,0.0033678922336548600,0.0033678922336548600
732,0.29375767707824700,0.29375767707824700,0.29375767707824700,,,,,,
733,,,,0.0033655893057584800,0.0033655893057584800,0.0033655893057584800,,,
734,,,,,,,0.002983441110700370,0.002983441110700370,0.002983441110700370
764,0.28019392490387000,0.28019392490387000,0.28019392490387000,,,,,,
765,,,,0.0037715621292591100,0.0037715621292591100,0.0037715621292591100,,,
766,,,,,,,0.0028772191144526000,0.0028772191144526000,0.0028772191144526000
796,0.2746976912021640,0.2746976912021640,0.2746976912021640,,,,,,
797,,,,0.0033395758364349600,0.0033395758364349600,0.0033395758364349600,,,
798,,,,,,,0.0030153885018080500,0.0030153885018080500,0.0030153885018080500
828,0.27245619893074000,0.27245619893074000,0.27245619893074000,,,,,,
829,,,,0.0032922665122896400,0.0032922665122896400,0.0032922665122896400,,,
830,,,,,,,0.0031555795576423400,0.0031555795576423400,0.0031555795576423400
860,0.2830357849597930,0.2830357849597930,0.2830357849597930,,,,,,
861,,,,0.0033171731047332300,0.0033171731047332300,0.0033171731047332300,,,
862,,,,,,,0.0028993391897529400,0.0028993391897529400,0.0028993391897529400
892,0.2620256543159490,0.2620256543159490,0.2620256543159490,,,,,,
893,,,,0.004191537853330370,0.004191537853330370,0.004191537853330370,,,
894,,,,,,,0.0033843161072582000,0.0033843161072582000,0.0033843161072582000
924,0.26323583722114600,0.26323583722114600,0.26323583722114600,,,,,,
925,,,,0.002881956286728380,0.002881956286728380,0.002881956286728380,,,
926,,,,,,,0.0027506158221513000,0.0027506158221513000,0.0027506158221513000
956,0.263215571641922,0.263215571641922,0.263215571641922,,,,,,
957,,,,0.0031386578921228600,0.0031386578921228600,0.0031386578921228600,,,
958,,,,,,,0.0026548486202955200,0.0026548486202955200,0.0026548486202955200
988,0.26031753420829800,0.26031753420829800,0.26031753420829800,,,,,,
989,,,,0.002923148451372980,0.002923148451372980,0.002923148451372980,,,
990,,,,,,,0.0027743722312152400,0.0027743722312152400,0.0027743722312152400
1020,0.2758970558643340,0.2758970558643340,0.2758970558643340,,,,,,
1021,,,,0.0034048957750201200,0.0034048957750201200,0.0034048957750201200,,,
1022,,,,,,,0.002674417570233350,0.002674417570233350,0.002674417570233350
1052,0.2624110281467440,0.2624110281467440,0.2624110281467440,,,,,,
1053,,,,0.0026982142589986300,0.0026982142589986300,0.0026982142589986300,,,
1054,,,,,,,0.002525915624573830,0.002525915624573830,0.002525915624573830
1084,0.2558763027191160,0.2558763027191160,0.2558763027191160,,,,,,
1085,,,,0.002800822490826250,0.002800822490826250,0.002800822490826250,,,
1086,,,,,,,0.002654374111443760,0.002654374111443760,0.002654374111443760
1116,0.25085657835006700,0.25085657835006700,0.25085657835006700,,,,,,
1117,,,,0.0037547468673437800,0.0037547468673437800,0.0037547468673437800,,,
1118,,,,,,,0.003378693712875250,0.003378693712875250,0.003378693712875250
1148,0.256392240524292,0.256392240524292,0.256392240524292,,,,,,
1149,,,,0.003062781412154440,0.003062781412154440,0.003062781412154440,,,
1150,,,,,,,0.002834577579051260,0.002834577579051260,0.002834577579051260
1180,0.25123971700668300,0.25123971700668300,0.25123971700668300,,,,,,
1181,,,,0.002822759561240670,0.002822759561240670,0.002822759561240670,,,
1182,,,,,,,0.0024885577149689200,0.0024885577149689200,0.0024885577149689200
1212,0.24753627181053200,0.24753627181053200,0.24753627181053200,,,,,,
1213,,,,0.0030125651974231000,0.0030125651974231000,0.0030125651974231000,,,
1214,,,,,,,0.0029927161522209600,0.0029927161522209600,0.0029927161522209600
1244,0.24763603508472400,0.24763603508472400,0.24763603508472400,,,,,,
1245,,,,0.0026605967432260500,0.0026605967432260500,0.0026605967432260500,,,
1246,,,,,,,0.0024307153653353500,0.0024307153653353500,0.0024307153653353500
1276,0.24521343410015100,0.24521343410015100,0.24521343410015100,,,,,,
1277,,,,0.0029504471458494700,0.0029504471458494700,0.0029504471458494700,,,
1278,,,,,,,0.0029053392354399000,0.0029053392354399000,0.0029053392354399000
1308,0.2414843738079070,0.2414843738079070,0.2414843738079070,,,,,,
1309,,,,0.002763796830549840,0.002763796830549840,0.002763796830549840,,,
1310,,,,,,,0.002375130308792000,0.002375130308792000,0.002375130308792000
1340,0.24793656170368200,0.24793656170368200,0.24793656170368200,,,,,,
1341,,,,0.0029781062621623300,0.0029781062621623300,0.0029781062621623300,,,
1342,,,,,,,0.002875817706808450,0.002875817706808450,0.002875817706808450
1372,0.25080424547195400,0.25080424547195400,0.25080424547195400,,,,,,
1373,,,,0.0031927493400871800,0.0031927493400871800,0.0031927493400871800,,,
1374,,,,,,,0.0029754198621958500,0.0029754198621958500,0.0029754198621958500
1404,0.24963818490505200,0.24963818490505200,0.24963818490505200,,,,,,
1405,,,,0.0031495753210037900,0.0031495753210037900,0.0031495753210037900,,,
1406,,,,,,,0.002946896245703100,0.002946896245703100,0.002946896245703100
1436,0.2348320037126540,0.2348320037126540,0.2348320037126540,,,,,,
1465,0.2878451645374300,0.2878451645374300,0.2878451645374300,,,,,,
1466,,,,0.0028678984381258500,0.0028678984381258500,0.0028678984381258500,,,
1467,,,,,,,0.0025777718983590600,0.0025777718983590600,0.0025777718983590600
1497,0.2535960078239440,0.2535960078239440,0.2535960078239440,,,,,,
1498,,,,0.0036107453051954500,0.0036107453051954500,0.0036107453051954500,,,
1499,,,,,,,0.0031952159479260400,0.0031952159479260400,0.0031952159479260400
1529,0.25332412123680100,0.25332412123680100,0.25332412123680100,,,,,,
1530,,,,0.00288234930485487,0.00288234930485487,0.00288234930485487,,,
1531,,,,,,,0.002775705186650160,0.002775705186650160,0.002775705186650160
1561,0.2442428171634670,0.2442428171634670,0.2442428171634670,,,,,,
1562,,,,0.0033494457602500900,0.0033494457602500900,0.0033494457602500900,,,
1563,,,,,,,0.003289685118943450,0.003289685118943450,0.003289685118943450
1593,0.24572527408599900,0.24572527408599900,0.24572527408599900,,,,,,
1594,,,,0.0031818696297705200,0.0031818696297705200,0.0031818696297705200,,,
1595,,,,,,,0.002776071196421980,0.002776071196421980,0.002776071196421980
1738,0.25485101342201200,0.25485101342201200,0.25485101342201200,,,,,,
1739,,,,0.002988936146721240,0.002988936146721240,0.002988936146721240,,,
1740,,,,,,,0.002926272340118890,0.002926272340118890,0.002926272340118890
1770,0.2534891366958620,0.2534891366958620,0.2534891366958620,,,,,,
1771,,,,0.002727754646912220,0.002727754646912220,0.002727754646912220,,,
1772,,,,,,,0.0024661363568157000,0.0024661363568157000,0.0024661363568157000
1802,0.2393631935119630,0.2393631935119630,0.2393631935119630,,,,,,
1803,,,,0.0033759991638362400,0.0033759991638362400,0.0033759991638362400,,,
1804,,,,,,,0.0033024714794009900,0.0033024714794009900,0.0033024714794009900
1834,0.24221687018871300,0.24221687018871300,0.24221687018871300,,,,,,
1835,,,,0.0026336233131587500,0.0026336233131587500,0.0026336233131587500,,,
1836,,,,,,,0.0023862398229539400,0.0023862398229539400,0.0023862398229539400
1866,0.23888473212719000,0.23888473212719000,0.23888473212719000,,,,,,
1867,,,,0.002864623675122860,0.002864623675122860,0.002864623675122860,,,
1868,,,,,,,0.002542456379160290,0.002542456379160290,0.002542456379160290
1898,0.22811058163642900,0.22811058163642900,0.22811058163642900,,,,,,
1899,,,,0.0026090703904628800,0.0026090703904628800,0.0026090703904628800,,,
1900,,,,,,,0.0024831986520439400,0.0024831986520439400,0.0024831986520439400
1930,0.23044633865356400,0.23044633865356400,0.23044633865356400,,,,,,
1931,,,,0.0025572986342012900,0.0025572986342012900,0.0025572986342012900,,,
1932,,,,,,,0.00236906879581511,0.00236906879581511,0.00236906879581511
1962,0.2198123037815090,0.2198123037815090,0.2198123037815090,,,,,,
1963,,,,0.0026756441220641100,0.0026756441220641100,0.0026756441220641100,,,
1964,,,,,,,0.0024801346007734500,0.0024801346007734500,0.0024801346007734500
1994,0.22687816619873000,0.22687816619873000,0.22687816619873000,,,,,,
1995,,,,0.0027968205977231300,0.0027968205977231300,0.0027968205977231300,,,
1996,,,,,,,0.0025302362628281100,0.0025302362628281100,0.0025302362628281100
2026,0.21585197746753700,0.21585197746753700,0.21585197746753700,,,,,,
2027,,,,0.002652778523042800,0.002652778523042800,0.002652778523042800,,,
2028,,,,,,,0.0024057587143033700,0.0024057587143033700,0.0024057587143033700
2058,0.21326494216918900,0.21326494216918900,0.21326494216918900,,,,,,
2059,,,,0.00266415742225945,0.00266415742225945,0.00266415742225945,,,
2060,,,,,,,0.002311320509761570,0.002311320509761570,0.002311320509761570
2090,0.21335363388061500,0.21335363388061500,0.21335363388061500,,,,,,
2091,,,,0.0028367084451019800,0.0028367084451019800,0.0028367084451019800,,,
2092,,,,,,,0.002864327048882840,0.002864327048882840,0.002864327048882840
2122,0.20661664009094200,0.20661664009094200,0.20661664009094200,,,,,,
2123,,,,0.0026439966168254600,0.0026439966168254600,0.0026439966168254600,,,
2124,,,,,,,0.0024717424530535900,0.0024717424530535900,0.0024717424530535900
2154,0.20402894914150200,0.20402894914150200,0.20402894914150200,,,,,,
2155,,,,0.0027569017838686700,0.0027569017838686700,0.0027569017838686700,,,
2156,,,,,,,0.002489953301846980,0.002489953301846980,0.002489953301846980
2186,0.20265188813209500,0.20265188813209500,0.20265188813209500,,,,,,
2187,,,,0.0027990208473056600,0.0027990208473056600,0.0027990208473056600,,,
2188,,,,,,,0.0025703602004796300,0.0025703602004796300,0.0025703602004796300
2218,0.2029791921377180,0.2029791921377180,0.2029791921377180,,,,,,
2219,,,,0.0026618901174515500,0.0026618901174515500,0.0026618901174515500,,,
2220,,,,,,,0.0023752842098474500,0.0023752842098474500,0.0023752842098474500
2250,0.1986718475818630,0.1986718475818630,0.1986718475818630,,,,,,
2251,,,,0.002678476506844160,0.002678476506844160,0.002678476506844160,,,
2252,,,,,,,0.002443204401060940,0.002443204401060940,0.002443204401060940
2282,0.1967034637928010,0.1967034637928010,0.1967034637928010,,,,,,
2283,,,,0.0026483230758458400,0.0026483230758458400,0.0026483230758458400,,,
2284,,,,,,,0.0024440614506602300,0.0024440614506602300,0.0024440614506602300
2314,0.1950634866952900,0.1950634866952900,0.1950634866952900,,,,,,
2315,,,,0.0027087784837931400,0.0027087784837931400,0.0027087784837931400,,,
2316,,,,,,,0.002428183564916250,0.002428183564916250,0.002428183564916250
2346,0.19239556789398200,0.19239556789398200,0.19239556789398200,,,,,,
2347,,,,0.0027223709039390100,0.0027223709039390100,0.0027223709039390100,,,
2348,,,,,,,0.002426131861284380,0.002426131861284380,0.002426131861284380
2378,0.19621272385120400,0.19621272385120400,0.19621272385120400,,,,,,
2379,,,,0.0027080844156444100,0.0027080844156444100,0.0027080844156444100,,,
2380,,,,,,,0.002471805550158020,0.002471805550158020,0.002471805550158020
2410,0.19247476756572700,0.19247476756572700,0.19247476756572700,,,,,,
2411,,,,0.0027138066943734900,0.0027138066943734900,0.0027138066943734900,,,
2412,,,,,,,0.0024053805973380800,0.0024053805973380800,0.0024053805973380800
2442,0.1917506605386730,0.1917506605386730,0.1917506605386730,,,,,,
2443,,,,0.0027224586810916700,0.0027224586810916700,0.0027224586810916700,,,
2444,,,,,,,0.00242502149194479,0.00242502149194479,0.00242502149194479
2474,0.19313094019889800,0.19313094019889800,0.19313094019889800,,,,,,
2475,,,,0.0027172330301255000,0.0027172330301255000,0.0027172330301255000,,,
2476,,,,,,,0.002503835130482910,0.002503835130482910,0.002503835130482910
2506,0.19165654480457300,0.19165654480457300,0.19165654480457300,,,,,,
2507,,,,0.002720179734751580,0.002720179734751580,0.002720179734751580,,,
2508,,,,,,,0.002466014353558420,0.002466014353558420,0.002466014353558420
2538,0.18934188783168800,0.18934188783168800,0.18934188783168800,,,,,,
2539,,,,0.0027300268411636400,0.0027300268411636400,0.0027300268411636400,,,
2540,,,,,,,0.002488445257768040,0.002488445257768040,0.002488445257768040
2570,0.1991942673921590,0.1991942673921590,0.1991942673921590,,,,,,
2571,,,,0.002734788926318290,0.002734788926318290,0.002734788926318290,,,
2572,,,,,,,0.002420032862573860,0.002420032862573860,0.002420032862573860
2602,0.19381336867809300,0.19381336867809300,0.19381336867809300,,,,,,
2603,,,,0.002731554675847290,0.002731554675847290,0.002731554675847290,,,
2604,,,,,,,0.002480112249031660,0.002480112249031660,0.002480112249031660
2634,0.1905824840068820,0.1905824840068820,0.1905824840068820,,,,,,
2635,,,,0.002730086911469700,0.002730086911469700,0.002730086911469700,,,
2636,,,,,,,0.002423343015834690,0.002423343015834690,0.002423343015834690
2666,0.19574038684368100,0.19574038684368100,0.19574038684368100,,,,,,
2667,,,,0.002736331196501850,0.002736331196501850,0.002736331196501850,,,
2668,,,,,,,0.0024283726233989,0.0024283726233989,0.0024283726233989
2698,0.18795420229435000,0.18795420229435000,0.18795420229435000,,,,,,
2699,,,,0.00273742969147861,0.00273742969147861,0.00273742969147861,,,
2700,,,,,,,0.0024188628885895000,0.0024188628885895000,0.0024188628885895000
2730,0.1904207020998000,0.1904207020998000,0.1904207020998000,,,,,,
2731,,,,0.0027399698738008700,0.0027399698738008700,0.0027399698738008700,,,
2732,,,,,,,0.0024844142608344600,0.0024844142608344600,0.0024844142608344600
2762,0.19009938836097700,0.19009938836097700,0.19009938836097700,,,,,,
2763,,,,0.0027393652126193000,0.0027393652126193000,0.0027393652126193000,,,
2764,,,,,,,0.0025134787429124100,0.0025134787429124100,0.0025134787429124100
2794,0.18891093134880100,0.18891093134880100,0.18891093134880100,,,,,,
2795,,,,0.002735695568844680,0.002735695568844680,0.002735695568844680,,,
2796,,,,,,,0.002390608424320820,0.002390608424320820,0.002390608424320820
2826,0.18870332837104800,0.18870332837104800,0.18870332837104800,,,,,,
2827,,,,0.002742249518632890,0.002742249518632890,0.002742249518632890,,,
2828,,,,,,,0.0024161108303815100,0.0024161108303815100,0.0024161108303815100
2858,0.1880236566066740,0.1880236566066740,0.1880236566066740,,,,,,
2859,,,,0.002735073445364830,0.002735073445364830,0.002735073445364830,,,
2860,,,,,,,0.0024152561090886600,0.0024152561090886600,0.0024152561090886600
2890,0.19058673083782200,0.19058673083782200,0.19058673083782200,,,,,,
2891,,,,0.002740499097853900,0.002740499097853900,0.002740499097853900,,,
2892,,,,,,,0.0025273633655160700,0.0025273633655160700,0.0025273633655160700
2922,0.18881018459796900,0.18881018459796900,0.18881018459796900,,,,,,
2923,,,,0.0027384874410927300,0.0027384874410927300,0.0027384874410927300,,,
2924,,,,,,,0.0024312727618962500,0.0024312727618962500,0.0024312727618962500
2954,0.19103573262691500,0.19103573262691500,0.19103573262691500,,,,,,
2955,,,,0.0027387652080506100,0.0027387652080506100,0.0027387652080506100,,,
2956,,,,,,,0.0024587512016296400,0.0024587512016296400,0.0024587512016296400
2986,0.18937920033931700,0.18937920033931700,0.18937920033931700,,,,,,
2987,,,,0.0027377530932426500,0.0027377530932426500,0.0027377530932426500,,,
2988,,,,,,,0.0024334753397852200,0.0024334753397852200,0.0024334753397852200
3018,0.19076387584209400,0.19076387584209400,0.19076387584209400,,,,,,
3019,,,,0.0027395696379244300,0.0027395696379244300,0.0027395696379244300,,,
3020,,,,,,,0.002453525783494120,0.002453525783494120,0.002453525783494120
3050,0.18608435988426200,0.18608435988426200,0.18608435988426200,,,,,,
3051,,,,0.0027326520066708300,0.0027326520066708300,0.0027326520066708300,,,
3052,,,,,,,0.002475765533745290,0.002475765533745290,0.002475765533745290
3082,0.19176913797855400,0.19176913797855400,0.19176913797855400,,,,,,
3083,,,,0.0027392201591283100,0.0027392201591283100,0.0027392201591283100,,,
3084,,,,,,,0.0024596869479864800,0.0024596869479864800,0.0024596869479864800
3114,0.18733201920986200,0.18733201920986200,0.18733201920986200,,,,,,
3115,,,,0.002739920513704420,0.002739920513704420,0.002739920513704420,,,
3116,,,,,,,0.0024002529680728900,0.0024002529680728900,0.0024002529680728900
3146,0.19190187752246900,0.19190187752246900,0.19190187752246900,,,,,,
