Step,imperial-droid-52 - Test Accuracy,imperial-droid-52 - Test Accuracy__MIN,imperial-droid-52 - Test Accuracy__MAX,imperial-droid-52 - Val Accuracy,imperial-droid-52 - Val Accuracy__MIN,imperial-droid-52 - Val Accuracy__MAX,imperial-droid-52 - Train Accuracy,imperial-droid-52 - Train Accuracy__MIN,imperial-droid-52 - Train Accuracy__MAX
1085,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
1086,,,,90.12605042016810,90.12605042016810,90.12605042016810,,,
1116,,,,,,,0.9264251614714970,0.9264251614714970,0.9264251614714970
1117,85.35564853556490,85.35564853556490,85.35564853556490,,,,,,
1118,,,,86.97478991596640,86.97478991596640,86.97478991596640,,,
1148,,,,,,,0.9250210614995790,0.9250210614995790,0.9250210614995790
1149,86.82008368200840,86.82008368200840,86.82008368200840,,,,,,
1150,,,,90.12605042016810,90.12605042016810,90.12605042016810,,,
1180,,,,,,,0.926986801460264,0.926986801460264,0.926986801460264
1181,87.44769874476990,87.44769874476990,87.44769874476990,,,,,,
1182,,,,90.33613445378150,90.33613445378150,90.33613445378150,,,
1212,,,,,,,0.926986801460264,0.926986801460264,0.926986801460264
1213,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
1214,,,,90.12605042016810,90.12605042016810,90.12605042016810,,,
1244,,,,,,,0.9267059814658800,0.9267059814658800,0.9267059814658800
1245,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
1246,,,,90.54621848739500,90.54621848739500,90.54621848739500,,,
1276,,,,,,,0.928390901432182,0.928390901432182,0.928390901432182
1277,87.44769874476990,87.44769874476990,87.44769874476990,,,,,,
1278,,,,89.70588235294120,89.70588235294120,89.70588235294120,,,
1308,,,,,,,0.9281100814377980,0.9281100814377980,0.9281100814377980
1309,87.44769874476990,87.44769874476990,87.44769874476990,,,,,,
1310,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
1340,,,,,,,0.9258635214827300,0.9258635214827300,0.9258635214827300
1341,88.91213389121340,88.91213389121340,88.91213389121340,,,,,,
1342,,,,90.54621848739500,90.54621848739500,90.54621848739500,,,
1372,,,,,,,0.9233361415332770,0.9233361415332770,0.9233361415332770
1373,86.40167364016740,86.40167364016740,86.40167364016740,,,,,,
1374,,,,88.65546218487400,88.65546218487400,88.65546218487400,,,
1404,,,,,,,0.9244594215108120,0.9244594215108120,0.9244594215108120
1405,86.19246861924690,86.19246861924690,86.19246861924690,,,,,,
1406,,,,88.23529411764710,88.23529411764710,88.23529411764710,,,
1436,,,,,,,0.928390901432182,0.928390901432182,0.928390901432182
1465,,,,,,,0.918562201628756,0.918562201628756,0.918562201628756
1466,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
1467,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
1497,,,,,,,0.9250210614995790,0.9250210614995790,0.9250210614995790
1498,84.72803347280340,84.72803347280340,84.72803347280340,,,,,,
1499,,,,87.18487394957980,87.18487394957980,87.18487394957980,,,
1529,,,,,,,0.9264251614714970,0.9264251614714970,0.9264251614714970
1530,87.86610878661090,87.86610878661090,87.86610878661090,,,,,,
1531,,,,90.12605042016810,90.12605042016810,90.12605042016810,,,
1561,,,,,,,0.9275484414490310,0.9275484414490310,0.9275484414490310
1562,86.61087866108790,86.61087866108790,86.61087866108790,,,,,,
1563,,,,87.81512605042020,87.81512605042020,87.81512605042020,,,
1593,,,,,,,0.9253018814939620,0.9253018814939620,0.9253018814939620
1594,87.23849372384940,87.23849372384940,87.23849372384940,,,,,,
1595,,,,90.33613445378150,90.33613445378150,90.33613445378150,,,
1738,,,,,,,0.9250210614995790,0.9250210614995790,0.9250210614995790
1739,86.82008368200840,86.82008368200840,86.82008368200840,,,,,,
1740,,,,89.28571428571430,89.28571428571430,89.28571428571430,,,
1770,,,,,,,0.9250210614995790,0.9250210614995790,0.9250210614995790
1771,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
1772,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
1802,,,,,,,0.9292333614153330,0.9292333614153330,0.9292333614153330
1803,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
1804,,,,90.54621848739500,90.54621848739500,90.54621848739500,,,
1834,,,,,,,0.928390901432182,0.928390901432182,0.928390901432182
1835,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
1836,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
1866,,,,,,,0.926986801460264,0.926986801460264,0.926986801460264
1867,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
1868,,,,90.12605042016810,90.12605042016810,90.12605042016810,,,
1898,,,,,,,0.9306374613872510,0.9306374613872510,0.9306374613872510
1899,89.1213389121339,89.1213389121339,89.1213389121339,,,,,,
1900,,,,91.17647058823530,91.17647058823530,91.17647058823530,,,
1930,,,,,,,0.9297950014041,0.9297950014041,0.9297950014041
1931,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
1932,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
1962,,,,,,,0.9303566413928670,0.9303566413928670,0.9303566413928670
1963,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
1964,,,,90.96638655462190,90.96638655462190,90.96638655462190,,,
1994,,,,,,,0.9286717214265660,0.9286717214265660,0.9286717214265660
1995,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
1996,,,,90.12605042016810,90.12605042016810,90.12605042016810,,,
2026,,,,,,,0.9309182813816340,0.9309182813816340,0.9309182813816340
2027,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2028,,,,89.91596638655460,89.91596638655460,89.91596638655460,,,
2058,,,,,,,0.931199101376018,0.931199101376018,0.931199101376018
2059,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
2060,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2090,,,,,,,0.9320415613591690,0.9320415613591690,0.9320415613591690
2091,88.91213389121340,88.91213389121340,88.91213389121340,,,,,,
2092,,,,91.17647058823530,91.17647058823530,91.17647058823530,,,
2122,,,,,,,0.9328840213423200,0.9328840213423200,0.9328840213423200
2123,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2124,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2154,,,,,,,0.9320415613591690,0.9320415613591690,0.9320415613591690
2155,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
2156,,,,91.17647058823530,91.17647058823530,91.17647058823530,,,
2186,,,,,,,0.9328840213423200,0.9328840213423200,0.9328840213423200
2187,89.1213389121339,89.1213389121339,89.1213389121339,,,,,,
2188,,,,90.96638655462190,90.96638655462190,90.96638655462190,,,
2218,,,,,,,0.9334456613310870,0.9334456613310870,0.9334456613310870
2219,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2220,,,,90.96638655462190,90.96638655462190,90.96638655462190,,,
2250,,,,,,,0.9342881213142380,0.9342881213142380,0.9342881213142380
2251,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
2252,,,,90.96638655462190,90.96638655462190,90.96638655462190,,,
2282,,,,,,,0.9323223813535520,0.9323223813535520,0.9323223813535520
2283,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
2284,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2314,,,,,,,0.9328840213423200,0.9328840213423200,0.9328840213423200
2315,88.91213389121340,88.91213389121340,88.91213389121340,,,,,,
2316,,,,91.17647058823530,91.17647058823530,91.17647058823530,,,
2346,,,,,,,0.9331648413367030,0.9331648413367030,0.9331648413367030
2347,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2348,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2378,,,,,,,0.9328840213423200,0.9328840213423200,0.9328840213423200
2379,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2380,,,,90.96638655462190,90.96638655462190,90.96638655462190,,,
2410,,,,,,,0.9342881213142380,0.9342881213142380,0.9342881213142380
2411,88.7029288702929,88.7029288702929,88.7029288702929,,,,,,
2412,,,,90.54621848739500,90.54621848739500,90.54621848739500,,,
2442,,,,,,,0.934007301319854,0.934007301319854,0.934007301319854
2443,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
2444,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2474,,,,,,,0.9317607413647850,0.9317607413647850,0.9317607413647850
2475,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
2476,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2506,,,,,,,0.9337264813254700,0.9337264813254700,0.9337264813254700
2507,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
2508,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2538,,,,,,,0.9342881213142380,0.9342881213142380,0.9342881213142380
2539,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2540,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2570,,,,,,,0.9331648413367030,0.9331648413367030,0.9331648413367030
2571,87.86610878661090,87.86610878661090,87.86610878661090,,,,,,
2572,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2602,,,,,,,0.9342881213142380,0.9342881213142380,0.9342881213142380
2603,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2604,,,,90.54621848739500,90.54621848739500,90.54621848739500,,,
2634,,,,,,,0.9328840213423200,0.9328840213423200,0.9328840213423200
2635,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
2636,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2666,,,,,,,0.9331648413367030,0.9331648413367030,0.9331648413367030
2667,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
2668,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2698,,,,,,,0.9317607413647850,0.9317607413647850,0.9317607413647850
2699,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
2700,,,,90.54621848739500,90.54621848739500,90.54621848739500,,,
2730,,,,,,,0.9345689413086210,0.9345689413086210,0.9345689413086210
2731,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
2732,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2762,,,,,,,0.932603201347936,0.932603201347936,0.932603201347936
2763,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
2764,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2794,,,,,,,0.9334456613310870,0.9334456613310870,0.9334456613310870
2795,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
2796,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2826,,,,,,,0.9351305812973880,0.9351305812973880,0.9351305812973880
2827,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
2828,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2858,,,,,,,0.934007301319854,0.934007301319854,0.934007301319854
2859,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
2860,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2890,,,,,,,0.934007301319854,0.934007301319854,0.934007301319854
2891,87.86610878661090,87.86610878661090,87.86610878661090,,,,,,
2892,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2922,,,,,,,0.9334456613310870,0.9334456613310870,0.9334456613310870
2923,88.28451882845190,88.28451882845190,88.28451882845190,,,,,,
2924,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2954,,,,,,,0.932603201347936,0.932603201347936,0.932603201347936
2955,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
2956,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
2986,,,,,,,0.9351305812973880,0.9351305812973880,0.9351305812973880
2987,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
2988,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
3018,,,,,,,0.9348497613030050,0.9348497613030050,0.9348497613030050
3019,88.49372384937240,88.49372384937240,88.49372384937240,,,,,,
3020,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
3050,,,,,,,0.9356922212861560,0.9356922212861560,0.9356922212861560
3051,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
3052,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
3082,,,,,,,0.9345689413086210,0.9345689413086210,0.9345689413086210
3083,88.07531380753140,88.07531380753140,88.07531380753140,,,,,,
3084,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
3114,,,,,,,0.9342881213142380,0.9342881213142380,0.9342881213142380
3115,87.86610878661090,87.86610878661090,87.86610878661090,,,,,,
3116,,,,90.75630252100840,90.75630252100840,90.75630252100840,,,
3146,,,,,,,0.9320415613591690,0.9320415613591690,0.9320415613591690
