"Step","volcanic-bush-67 - Test Accuracy","volcanic-bush-67 - Test Accuracy__MIN","volcanic-bush-67 - Test Accuracy__MAX","volcanic-bush-67 - Train Accuracy","volcanic-bush-67 - Train Accuracy__MIN","volcanic-bush-67 - Train Accuracy__MAX"
"195","","","","","",""
"196","","","","","",""
"197","","","","","",""
"198","","","","","",""
"199","","","","","",""
"200","","","","64.4186046511628","64.4186046511628","64.4186046511628"
"201","59.86842105263158","59.86842105263158","59.86842105263158","","",""
"202","","","","","",""
"203","","","","","",""
"204","","","","","",""
"205","","","","","",""
"206","","","","","",""
"207","","","","64.4186046511628","64.4186046511628","64.4186046511628"
"208","54.60526315789474","54.60526315789474","54.60526315789474","","",""
"209","","","","","",""
"210","","","","","",""
"211","","","","","",""
"212","","","","","",""
"213","","","","","",""
"214","","","","68.13953488372093","68.13953488372093","68.13953488372093"
"215","63.1578947368421","63.1578947368421","63.1578947368421","","",""
"216","","","","","",""
"217","","","","","",""
"218","","","","","",""
"219","","","","","",""
"220","","","","","",""
"221","","","","64.4186046511628","64.4186046511628","64.4186046511628"
"222","55.921052631578945","55.921052631578945","55.921052631578945","","",""
"223","","","","","",""
"224","","","","","",""
"225","","","","","",""
"226","","","","","",""
"227","","","","","",""
"228","","","","63.48837209302326","63.48837209302326","63.48837209302326"
"229","55.921052631578945","55.921052631578945","55.921052631578945","","",""
"230","","","","","",""
"231","","","","","",""
"232","","","","","",""
"233","","","","","",""
"234","","","","","",""
"235","","","","63.72093023255814","63.72093023255814","63.72093023255814"
"236","60.526315789473685","60.526315789473685","60.526315789473685","","",""
"237","","","","","",""
"238","","","","","",""
"239","","","","","",""
"240","","","","","",""
"241","","","","","",""
"242","","","","65.11627906976744","65.11627906976744","65.11627906976744"
"243","55.921052631578945","55.921052631578945","55.921052631578945","","",""
"244","","","","","",""
"245","","","","","",""
"246","","","","","",""
"247","","","","","",""
"248","","","","","",""
"249","","","","66.27906976744185","66.27906976744185","66.27906976744185"
"250","53.94736842105263","53.94736842105263","53.94736842105263","","",""
"251","","","","","",""
